"Login Only Catalog","Login Only Catalog"
"Disable Extension","Disable Extension"
"Hide Category Navigation","Hide Category Navigation"
"Message when a customer is redirected","Message when a customer is redirected"
"Empty to disable","Empty to disable"
"Disable on routes","Disable on routes"
"Add route/controller/action routes (one per line) where no redirect should happen.","Add route/controller/action routes (one per line) where no redirect should happen."
"Do redirect on Category Pages","Do redirect on Category Pages"
"Redirect to login from any page","Redirect to login from any page"
"Redirect to","Redirect to"
"Login Page","Login Page"
"Target CMS Page","Target CMS Page"
"The module will be deactivated on the target page.","The module will be deactivated on the target page."
